代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00330	思捷环球	-3.39	13365204	6.850	7.090	100	1936728	-0.29	7.050	7.050	6.840	--  	0.00	2.96	-0.240	   1174	6.850	6.850	1482400.00	
00336	华宝国际	0.49	4085022	4.130	4.110	1000	1001528	0.98	4.110	4.130	4.040	--  	0.00	2.19	0.020	     68	4.090	4.130	1267754.75	
00337	绿地香港	-1.39	6580701	2.130	2.160	1000	3110000	0.00	2.180	2.180	2.080	--  	0.00	4.63	-0.030	    216	2.120	2.130	5074011.50	
00338	上海石油化工股份	-2.36	78211128	4.560	4.670	2000	17212924	0.44	4.670	4.670	4.500	--  	0.00	3.64	-0.110	    853	4.550	4.560	3025867.50	
00341	大家乐集团	-0.96	18162306	25.850	26.100	2000	699366	0.78	26.000	26.000	25.500	--  	0.70	1.92	-0.250	     97	25.700	25.850	432864.91	
00345	VITASOY INT'L	-0.92	24269926	15.040	15.180	2000	1605402	-0.53	15.180	15.180	14.980	--  	0.25	1.32	-0.140	    200	15.040	15.040	443228.59	
00347	鞍钢股份	-4.77	266981136	5.790	6.080	2000	45818992	-0.17	6.030	6.030	5.780	--  	0.00	4.11	-0.290	   2145	5.790	5.790	8789600.00	
00354	中国软件国际	-1.55	40800092	3.810	3.870	2000	10698807	0.26	3.890	3.890	3.790	--  	0.00	2.58	-0.060	    630	3.800	3.810	677304.88	
00358	江西铜业股份	-2.64	254139360	12.540	12.880	1000	20235684	0.16	12.920	12.920	12.440	--  	0.00	3.73	-0.340	   2217	12.520	12.540	8630461.00	
00363	上海实业控股	-1.13	93547976	21.900	22.150	1000	4262000	-0.23	22.150	22.150	21.600	--  	2.10	2.48	-0.250	    712	21.900	21.900	13934415.00	
00368	中外运航运	-1.05	33574200	1.880	1.900	500	17727000	0.00	1.900	1.920	1.830	--  	0.00	4.74	-0.020	    602	1.860	1.880	228151.20	
