代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08271	环球数码创意	0.00	0	0.249	--  	0	0	0.00	          0.00	  0.00	--  	
08262	宏强控股	1.28	0	0.395	--  	0	0	0.00	          0.00	  0.00	--  	
08261	海天能源	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08258	西北实业	0.00	0	0.230	--  	0	0	0.00	          0.00	  0.00	--  	
08249	瑞远智控	0.00	0	0.216	--  	0	0	0.00	          0.00	  0.00	--  	
08235	赛迪顾问	0.00	0	0.285	--  	0	0	0.00	          0.00	  0.00	--  	
08233	中国基建港口	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08215	FIRST CREDIT	0.00	0	0.108	--  	0	0	0.00	          0.00	  0.00	--  	
08212	誉满国际控股	0.00	0	0.170	--  	0	0	0.00	          0.00	  0.00	--  	
08211	浙江永安	0.00	0	0.220	--  	0	0	0.00	          0.00	  0.00	--  	
08206	神通机器人教育	0.00	0	0.370	--  	0	0	0.00	          0.00	  0.00	--  	
08205	交大慧谷	0.00	0	0.310	--  	0	0	0.00	          0.00	  0.00	--  	
08197	北斗嘉药业	0.00	0	0.410	--  	0	0	0.00	          0.00	  0.00	--  	
08196	建禹集团	0.00	0	4.720	--  	0	0	0.00	          0.00	  0.00	--  	
08190	康佰控股	0.00	0	0.061	--  	0	0	0.00	          0.00	  0.00	--  	
08182	中国糖果	0.00	0	0.113	--  	0	0	0.00	          0.00	  0.00	--  	
08173	万亚企业控股	0.00	0	0.027	--  	0	0	0.00	          0.00	  0.00	--  	
08162	港银控股	0.00	0	0.500	--  	0	0	0.00	          0.00	  0.00	--  	
08159	辉煌科技	-3.19	0	0.455	--  	0	0	0.00	          0.00	  0.00	--  	
08150	无缝绿色	0.00	0	0.115	--  	0	0	0.00	          0.00	  0.00	--  	
数据来源:通达信
