代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08267	蓝港互动	-6.09	190915	--  	--  	175000	500	0.00	          0.05	  0.63	1.120	
08366	浙江联合投资	-3.33	190900	--  	--  	330000	120000	1.75	          0.02	  1.43	0.590	
08416	HM INTL HLDGS	1.52	187150	--  	--  	285000	15000	0.00	          0.07	  1.78	0.670	
08402	GT STEEL GROUP	-1.67	181350	--  	--  	615000	150000	0.00	          0.13	  0.48	0.295	
08415	乐嘉思控股	0.81	178400	--  	--  	720000	200000	0.00	          0.06	  0.47	0.248	
08247	中生北控生物科技	1.25	178240	--  	--  	74000	30000	0.83	          0.12	  0.22	2.370	
08465	高科桥	0.00	175100	--  	--  	60000	10000	0.00	          0.02	  0.67	2.930	
08426	雅居投资控股	0.48	170810	--  	--  	820000	100000	0.00	          0.10	  0.53	0.208	
08373	靛蓝星	-6.19	167950	--  	--  	190000	15000	0.00	          0.05	  0.23	0.900	
08195	L&A INTL HOLD	-1.28	164960	--  	--  	2144000	8000	0.00	          0.17	  0.19	0.078	
08196	建禹集团	-0.42	161840	--  	--  	40000	8000	17.50	          0.01	  1.39	4.310	
08480	飞霓控股	0.00	160000	--  	--  	400000	400000	0.00	          0.08	  1.50	0.400	
08362	运兴泰集团	-1.57	152600	--  	--  	1220000	220000	0.00	          0.09	  0.62	0.125	
08072	罗马集团	-3.60	151420	--  	--  	1415000	20000	0.00	          0.05	  2.48	0.108	
08093	万星控股	6.94	151300	--  	--  	80000	10000	-2.63	          0.02	  2.29	1.890	
08312	中国瀚亚	3.45	149000	--  	--  	480000	20000	0.00	          0.06	  0.09	0.295	
08056	饮食概念	-3.13	148700	--  	--  	470000	285000	-3.12	          0.06	  0.43	0.330	
08472	立高控股	0.00	146400	--  	--  	240000	10000	0.00	          0.06	  1.27	0.610	
08171	中国趋势	10.00	145840	--  	--  	14128000	120000	0.00	          0.03	  0.88	0.010	
08181	港深联合	-1.30	143640	--  	--  	368000	8000	-2.56	          0.04	  0.47	0.400	
08333	阿仕特朗金融	-3.39	139500	--  	--  	475000	80000	0.00	          0.06	  2.05	0.295	
08385	万里印刷	-6.06	138500	--  	--  	440000	100000	0.00	          0.06	  0.50	0.315	
08231	节能元件	0.00	138350	--  	--  	650000	140000	0.00	          0.04	  0.63	0.212	
08377	申酉控股	-2.27	134250	--  	--  	310000	10000	0.00	          0.04	  1.08	0.440	
08290	亚势备份	2.04	130250	--  	--  	1340000	20000	5.26	          0.07	  2.58	0.100	
08088	海汇国际科技	7.41	129624	--  	--  	4552000	592000	-3.33	          0.04	  2.23	0.027	
08117	中国基础能源	0.00	126040	--  	--  	133000	10000	0.00	          0.01	  0.38	0.940	
08220	比高集团	-1.61	122220	--  	--  	2020000	40000	0.00	          0.06	  1.86	0.060	
