代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
603179	新泉股份	2.12	110649560	0.82	39.43	39.44	28186	15	0.08	          4.23	38.63	
300620	光库科技	3.18	109824848	1.19	38.58	38.59	28280	372	0.05	         12.85	37.56	
600562	国睿科技	1.34	109042144	0.29	21.87	21.88	50223	25	0.05	          1.53	21.40	
000670	盈方微	1.52	105516864	0.08	5.34	5.35	198045	4060	-0.18	          3.30	5.25	
601882	海天精工	2.79	104988024	0.34	12.52	12.53	85357	35	0.40	          6.78	12.03	
000875	吉电股份	2.99	104703752	0.10	3.44	3.45	306760	9424	0.00	          1.57	3.36	
600555	海航创新	3.50	103933696	0.15	4.42	4.43	238451	5	0.23	          2.45	4.22	
002624	完美世界	0.16	99780032	0.05	31.00	31.01	32170	258	-0.02	          0.69	30.63	
000966	长源电力	3.40	98404264	0.12	3.64	3.65	269972	2863	0.00	          2.44	3.50	
002172	澳洋科技	1.78	98223328	0.10	5.72	5.73	167069	683	-0.16	          2.99	5.90	
603003	龙宇燃油	0.24	97749784	0.03	12.33	12.34	80102	5	0.16	          1.82	12.10	
002370	亚太药业	1.72	96895512	0.32	18.90	18.94	51424	389	0.21	          1.26	18.31	
00101	恒隆地产	2.18	96836072	0.400	18.760	18.780	5182375	2130000	0.43	          0.12	18.660	
06808	高鑫零售	0.66	94327200	0.060	9.110	9.120	10299500	576500	-0.22	          0.11	9.050	
002479	富春环保	0.90	94310080	0.08	9.00	9.01	106459	1246	0.56	          1.46	8.91	
002485	希努尔	1.79	92178536	0.47	26.65	26.67	34568	434	-0.03	          1.08	26.01	
601611	中国核建	0.41	92014072	0.04	9.74	9.75	94978	16	0.21	          0.99	9.70	
600679	上海凤凰	6.19	91790224	1.05	18.03	18.05	52172	2	0.17	          2.73	16.85	
300541	先进数通	4.14	91734000	0.99	24.89	24.90	36908	791	-0.11	          7.29	23.86	
600292	远达环保	2.73	90563080	0.21	7.91	7.93	116434	5	0.76	          1.49	7.68	
00494	利丰	1.41	90469744	0.060	4.300	4.310	21143068	2956000	0.23	          0.25	4.240	
300608	思特奇	0.50	90064680	0.15	30.24	30.25	30080	372	-0.45	          5.22	29.53	
002278	神开股份	1.02	90013376	0.12	11.91	11.92	75748	1984	0.25	          2.21	11.78	
603767	中马传动	2.79	89841624	0.39	14.36	14.38	63391	10	0.00	         11.89	13.98	
600619	海立股份	3.69	89646904	0.40	11.28	11.29	80513	37	0.45	          1.75	10.80	
600439	瑞贝卡	1.70	89644544	0.10	5.97	5.98	151380	867	0.17	          1.34	5.82	
002011	盾安环境	0.56	89604088	0.04	7.14	7.15	126715	2395	0.14	          1.51	7.09	
600101	明星电力	3.27	89251920	0.28	8.84	8.85	101591	250	0.34	          3.13	8.69	
600759	洲际油气	1.56	89104632	0.06	3.90	3.91	227427	6	0.26	          1.01	3.94	
300131	英唐智控	2.04	88450544	0.14	7.01	7.02	127708	3336	0.00	          2.03	6.84	
