Date,Open,High,Low,Close,Volume
2016-11-14,4.730,4.740,4.630,4.700,371165
2016-11-15,4.740,4.760,4.670,4.730,293343
2016-11-16,4.790,4.810,4.720,4.720,284840
2016-11-17,4.720,4.810,4.720,4.720,226791
2016-11-18,4.710,4.770,4.690,4.730,253249
2016-11-21,4.730,4.800,4.680,4.760,316557
2016-11-22,4.720,4.860,4.720,4.810,595481
2016-11-23,4.810,4.850,4.800,4.820,191972
2016-11-24,4.810,4.820,4.750,4.790,206807
2016-11-25,4.780,4.850,4.770,4.810,234313
2016-11-28,4.840,4.890,4.810,4.820,323381
2016-11-29,4.810,4.810,4.760,4.790,381513
2016-11-30,4.820,4.820,4.780,4.810,632726
2016-12-01,4.810,4.880,4.810,4.840,338080
2016-12-02,4.810,4.850,4.790,4.820,270130
2016-12-05,4.860,4.860,4.700,4.770,376545
2016-12-06,4.790,4.830,4.750,4.780,197691
2016-12-07,4.820,4.830,4.740,4.780,171128
2016-12-08,4.810,4.810,4.760,4.790,283218
2016-12-09,4.770,4.820,4.770,4.780,261596
2016-12-12,4.800,4.840,4.740,4.770,503598
2016-12-13,4.760,4.800,4.740,4.770,342470
2016-12-14,4.820,4.820,4.710,4.740,439333
2016-12-15,4.710,4.730,4.640,4.710,663257
2016-12-16,4.680,4.750,4.660,4.730,468896
2016-12-19,4.700,4.740,4.650,4.710,231684
2016-12-20,4.670,4.710,4.660,4.700,283431
2016-12-21,4.690,4.720,4.650,4.690,241710
2016-12-22,4.660,4.700,4.650,4.680,282922
2016-12-23,4.660,4.730,4.650,4.670,214990
2016-12-28,4.640,4.670,4.610,4.660,291472
2016-12-29,4.630,4.660,4.590,4.630,356013
2016-12-30,4.600,4.800,4.600,4.700,741540
2017-01-03,4.740,4.870,4.690,4.790,696632
2017-01-04,4.800,4.920,4.790,4.900,1053369
2017-01-05,4.950,5.050,4.930,4.980,1044053
2017-01-06,5.040,5.040,4.890,4.960,543039
2017-01-09,5.010,5.040,4.970,5.020,568711
2017-01-10,5.000,5.030,4.980,5.010,446683
2017-01-11,5.020,5.020,4.980,5.000,535377
2017-01-12,5.020,5.140,4.980,5.110,993542
2017-01-13,5.140,5.180,5.080,5.120,585096
2017-01-16,5.120,5.200,5.110,5.150,725005
2017-01-17,5.160,5.210,5.140,5.160,456621
2017-01-18,5.190,5.190,5.130,5.180,625942
2017-01-19,5.190,5.190,5.100,5.130,714449
2017-01-20,5.080,5.130,5.070,5.080,466037
2017-01-23,5.100,5.120,5.000,5.020,389771
2017-01-24,5.010,5.050,4.950,4.980,680932
2017-01-25,4.920,5.050,4.900,5.030,879985
2017-01-26,5.010,5.140,5.010,5.130,562292
