date	Price
0953	4.63
0952	4.64
0951	4.65
0950	4.65
0949	4.65
0948	4.65
0947	4.66
0946	4.65
0945	4.67
0944	4.66
0943	4.67
0942	4.67
0941	4.67
0940	4.67
0939	4.67
0938	4.67
0937	4.66
0936	4.67
0935	4.67
0934	4.66
0933	4.66
0932	4.67
0931	4.67
0930	4.67
1600	4.66
1559	4.66
1558	4.66
1557	4.66
1556	4.66
1555	4.66
1554	4.66
1553	4.66
1552	4.65
1551	4.66
1550	4.66
1549	4.66
1548	4.66
1547	4.66
1546	4.66
1545	4.65
1544	4.66
1543	4.66
1542	4.66
1541	4.66
1540	4.66
1539	4.65
1538	4.65
1537	4.66
1536	4.65
1535	4.66
1534	4.66
1533	4.65
1532	4.66
1531	4.66
1530	4.66
1529	4.66
1528	4.66
1527	4.66
1526	4.66
1525	4.66
1524	4.66
1523	4.66
1522	4.66
1521	4.65
1520	4.66
1519	4.66
1518	4.65
1517	4.66
1516	4.66
1515	4.65
1514	4.65
1513	4.66
1512	4.66
1511	4.66
1510	4.66
1509	4.66
1508	4.66
1507	4.66
1506	4.65
1505	4.65
1504	4.65
1503	4.65
1502	4.66
1501	4.66
1500	4.65
1459	4.65
1458	4.66
1457	4.66
1456	4.66
1455	4.66
1454	4.66
1453	4.66
1452	4.66
1451	4.66
1450	4.66
1449	4.66
1448	4.66
1447	4.65
1446	4.65
1445	4.65
1444	4.65
1443	4.65
1442	4.64
1441	4.65
1440	4.65
1439	4.65
1438	4.65
1437	4.65
1436	4.64
1435	4.64
1434	4.64
1433	4.64
1432	4.65
1431	4.64
1430	4.64
1429	4.64
1428	4.64
1427	4.64
1426	4.64
1425	4.64
1424	4.64
1423	4.64
1422	4.64
1421	4.64
1420	4.64
1419	4.65
1418	4.63
1417	4.63
1416	4.63
1415	4.65
1414	4.65
1413	4.65
1412	4.64
1411	4.65
1410	4.65
1409	4.65
1408	4.65
1407	4.65
1406	4.65
1405	4.65
1404	4.65
1403	4.65
1402	4.65
1401	4.65
1400	4.64
1359	4.65
1358	4.64
1357	4.65
1356	4.65
1355	4.65
1354	4.65
1353	4.64
1352	4.64
1351	4.65
1350	4.65
1349	4.65
1348	4.65
1347	4.64
1346	4.65
1345	4.64
1344	4.65
1343	4.64
1342	4.65
1341	4.65
1340	4.65
1339	4.66
1338	4.66
1337	4.66
1336	4.66
1335	4.66
1334	4.66
1333	4.66
1332	4.66
1331	4.66
1330	4.67
1329	4.66
1328	4.66
1327	4.67
1326	4.67
1325	4.66
1324	4.66
1323	4.67
1322	4.67
1321	4.66
1320	4.66
1319	4.66
1318	4.66
1317	4.67
1316	4.66
1315	4.67
1314	4.66
1313	4.67
1312	4.67
1311	4.67
1310	4.67
1309	4.66
1308	4.67
1307	4.67
1306	4.67
1305	4.67
1304	4.67
1303	4.67
1302	4.67
1301	4.67
1300	4.67
1200	4.67
1159	4.67
1158	4.67
1157	4.67
1156	4.66
1155	4.67
1154	4.66
1153	4.67
1152	4.67
1151	4.66
1150	4.67
1149	4.67
1148	4.67
1147	4.66
1146	4.66
1145	4.67
1144	4.66
1143	4.66
1142	4.66
1141	4.67
1140	4.67
1139	4.67
1138	4.67
1137	4.67
1136	4.67
1135	4.67
1134	4.67
1133	4.67
1132	4.67
1131	4.67
1130	4.67
1129	4.66
1128	4.67
1127	4.66
1126	4.66
1125	4.67
1124	4.67
1123	4.67
1122	4.67
1121	4.67
1120	4.67
1119	4.67
1118	4.66
1117	4.67
1116	4.67
1115	4.67
1114	4.66
1113	4.67
1112	4.67
1111	4.66
1110	4.67
1109	4.67
1108	4.67
1107	4.67
1106	4.67
1105	4.67
1104	4.67
1103	4.66
1102	4.66
1101	4.66
1100	4.67
1059	4.67
1058	4.67
1057	4.66
1056	4.66
1055	4.66
1054	4.66
1053	4.66
1052	4.66
1051	4.66
1050	4.66
1049	4.67
1048	4.67
1047	4.67
1046	4.67
1045	4.66
1044	4.67
1043	4.67
1042	4.66
1041	4.67
1040	4.67
1039	4.67
1038	4.67
1037	4.67
1036	4.67
1035	4.66
1034	4.66
1033	4.66
1032	4.66
1031	4.66
1030	4.67
1029	4.66
1028	4.66
1027	4.66
1026	4.66
1025	4.67
1024	4.66
1023	4.66
1022	4.66
1021	4.66
1020	4.67
1019	4.66
1018	4.66
1017	4.66
1016	4.66
1015	4.66
1014	4.66
1013	4.66
1012	4.66
1011	4.66
1010	4.66
1009	4.65
1008	4.65
1007	4.66
1006	4.66
1005	4.66
1004	4.65
1003	4.66
1002	4.66
1001	4.65
1000	4.66
0959	4.66
0958	4.67
0957	4.66
0956	4.66
0955	4.66
0954	4.66
0953	4.66
0952	4.67
0951	4.66
0950	4.66
0949	4.66
0948	4.66
0947	4.66
0946	4.66
0945	4.66
0944	4.67
0943	4.66
0942	4.65
0941	4.65
0940	4.66
0939	4.67
0938	4.67
0937	4.67
0936	4.67
0935	4.67
0934	4.67
0933	4.67
0932	4.67
0931	4.67
0930	4.66
1600	4.69
1559	4.70
1558	4.70
1557	4.69
1556	4.70
1555	4.70
1554	4.69
1553	4.70
1552	4.69
1551	4.70
1550	4.70
1549	4.69
1548	4.69
1547	4.69
1546	4.70
