代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
01250	北控清洁能源集团	3.70	14436901	0.275	0.280	52040000	4760000	0.00	          0.08	  0.54	0.275	
03818	中国动向	-0.70	14310434	1.410	1.420	10018150	634000	0.00	          0.18	  0.53	1.440	
00729	五龙电动车	3.70	14231376	0.275	0.280	51503000	1390000	0.00	          0.23	  0.91	0.270	
00860	奥立仕控股	-1.67	14117585	1.760	1.770	7874000	12000	-0.56	          0.13	  0.62	1.800	
00787	利标品牌	1.09	14056586	0.460	0.465	30010144	4204000	-1.06	          0.35	  0.88	0.465	
02298	都市丽人	5.06	14047546	4.350	4.360	3230000	108000	0.23	          0.15	  1.47	4.200	
00832	建业地产	4.99	14008196	3.580	3.600	3929000	85000	-0.56	          0.16	  0.74	3.580	
02225	KAKIKO GROUP	-1.36	13968501	--  	--  	6490000	20000	-0.91	          0.53	  2.59	2.200	
00512	远大医药	1.79	13936801	5.110	5.130	2712000	28000	0.00	          0.12	  0.51	5.080	
01337	雷蛇	0.67	13713257	--  	--  	4571882	1000	0.00	          0.05	  0.46	3.000	
00341	大家乐集团	-0.31	13618657	19.480	19.500	698471	30000	0.10	          0.12	  1.33	19.580	
01363	中滔环保	2.76	13612754	1.480	1.490	9194380	276000	0.68	          0.15	  1.31	1.460	
01882	海天国际	0.00	13586392	22.900	22.950	589937	62000	-0.22	          0.04	  0.39	22.950	
02611	国泰君安	0.70	13454892	17.160	17.180	787200	39200	0.59	          0.07	  1.03	17.040	
00368	中外运航运	2.80	13451497	2.200	2.210	6074575	11000	0.00	          0.15	  0.55	2.200	
00337	绿地香港	4.84	13370257	3.870	3.900	3465545	9000	0.78	          0.12	  0.94	3.790	
06036	光丽科技	-5.08	13290701	--  	--  	22840000	5000	0.00	          2.28	  0.39	0.600	
01372	比速科技	4.34	13260961	--  	--  	2438000	20000	0.00	          1.22	  1.82	5.350	
02222	雷士照明	9.64	13199861	--  	--  	14832000	145000	1.11	          0.41	  3.64	0.870	
06083	环宇物流（亚洲）	-0.85	13069641	--  	--  	11656000	4000	0.86	          2.43	  1.88	1.140	
00709	佐丹奴国际	-1.08	12710129	4.580	4.590	2756408	338000	-0.22	          0.18	  0.48	4.640	
00612	中国投资基金公司	0.34	12644377	--  	--  	1443920	8000	0.34	          0.12	  0.90	8.700	
00010	恒隆集团	0.58	12513180	25.900	25.950	482858	79000	0.19	          0.04	  0.49	25.850	
00989	广泽国际发展	8.22	12191451	--  	--  	7745000	5000	1.28	          0.15	  2.76	1.460	
01269	首控集团	6.58	12112961	3.340	3.400	3620000	578000	0.89	          0.07	  0.40	3.190	
06123	先达国际物流	3.87	12021801	--  	--  	2008000	8000	-0.17	          0.48	  1.16	5.780	
01428	耀才证券金融	0.40	11840121	--  	--  	4620000	36000	-0.39	          0.27	  0.92	2.570	
00297	中化化肥	3.06	11781822	1.000	1.010	11751530	234000	0.00	          0.17	  0.53	1.000	
00577	十三集团	-3.75	11709876	--  	--  	14806059	12000	-1.28	          1.46	  0.40	0.800	
00426	万华媒体	-0.61	11659881	--  	--  	7172000	6000	0.00	          1.79	  1.09	1.680	
01263	柏能集团	1.03	11428361	--  	--  	1938000	2000	0.00	          0.43	  0.75	5.980	
00928	莲和医疗	2.97	11414445	--  	--  	47864000	240000	-2.35	          0.91	 11.46	0.204	
01415	高伟电子	1.39	11356561	--  	--  	5128000	1000	0.00	          0.62	  0.76	2.190	
00161	中航国际控股	3.32	11143901	--  	--  	2018000	10000	0.18	          0.61	  0.41	5.560	
00420	福田实业	10.48	11087581	--  	--  	9662000	86000	0.00	          0.80	 17.99	1.140	
00895	东江环保	-1.86	10878393	10.560	10.580	1025000	2200	-0.19	          0.51	  2.11	10.580	
00095	绿景中国地产	0.95	10866821	3.190	3.200	3396000	64000	-0.31	          0.07	  1.07	3.200	
00336	华宝国际	0.59	10855561	5.080	5.090	2177900	58000	0.20	          0.07	  0.90	5.100	
03997	电讯首科	1.23	10753201	--  	--  	4238000	4000	1.23	          3.31	0.00	2.450	
03306	江南布衣	1.30	10643131	--  	--  	681100	500	-0.13	          0.13	  0.93	15.420	
01072	东方电气	3.01	10569437	6.170	6.180	1730200	28400	0.00	          0.51	  0.92	6.130	
01798	大唐新能源	3.92	10556281	--  	--  	10059000	1000	0.00	          0.40	  2.52	1.040	
00439	光启科学	-0.52	10400002	1.890	1.900	5442017	8000	0.00	          0.09	  1.00	1.920	
01706	双运控股	0.50	10278400	--  	--  	5080000	20000	0.00	          0.51	  2.60	1.950	
01508	中国再保险	0.61	10195560	1.650	1.660	6192000	192000	-0.60	          0.09	  0.29	1.660	
01421	工盖有限公司	-3.61	10075575	--  	--  	25025000	10000	0.00	          2.11	  0.96	0.420	
