代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
002202	金风科技	4.83	465905728	15.62	15.62	15.63	304622	3159	0.26	          1.09	14.90	
600547	山东黄金	0.47	465627680	25.67	25.68	25.69	182809	3	0.16	          1.26	25.17	
600837	海通证券	0.17	462294016	11.91	11.92	11.93	386300	20	-0.32	          0.48	11.92	
600584	长电科技	3.96	461518048	17.84	17.85	17.86	260753	5	-0.21	          2.65	17.29	
002405	四维图新	3.93	459459392	20.10	20.09	20.10	230016	2934	0.00	          2.24	19.53	
600809	山西汾酒	5.56	458797120	57.37	57.38	57.50	80675	1	0.61	          0.93	55.31	
000932	*ST华菱	4.19	458764256	9.20	9.19	9.20	508870	11922	0.11	          1.69	8.85	
002001	新 和 成	2.83	457064288	36.66	36.65	36.66	125314	2753	-0.10	          1.17	35.68	
300739	明阳电路	4.40	452397728	42.49	42.49	42.50	106132	1027	-0.01	         34.46	41.83	
300168	万达信息	7.33	451889280	14.65	14.64	14.65	316498	6397	0.34	          3.14	13.74	
600409	三友化工	-0.95	450780160	9.42	9.41	9.42	482702	7	-0.31	          2.61	9.55	
600884	杉杉股份	9.98	449164128	16.42	16.42	--  	279892	2	0.00	          3.41	15.24	
300287	飞利信	5.80	448922144	8.57	8.56	8.57	532934	5743	0.12	          5.04	8.07	
002839	张家港行	2.45	448725856	9.21	9.21	9.22	490465	7886	-0.10	          5.88	9.06	
601229	上海银行	1.14	448352864	15.13	15.14	15.15	296194	146	-0.06	          0.80	15.03	
603356	华菱精工	10.01	447401312	27.48	27.48	--  	165205	10	0.00	         49.55	26.29	
600325	华发股份	0.81	445023808	7.48	7.46	7.47	598366	74	0.27	          3.13	7.49	
002241	歌尔股份	2.92	443662912	13.40	13.40	13.41	334169	4958	0.53	          1.23	13.18	
300133	华策影视	5.15	442205312	12.26	12.25	12.26	367428	3130	0.41	          3.01	11.70	
601108	财通证券	1.25	442002848	15.42	15.41	15.42	286076	27	-0.05	          7.97	15.50	
600176	中国巨石	4.06	440709568	14.86	14.87	14.88	299019	36	0.13	          1.02	14.31	
600789	鲁抗医药	4.32	437472576	9.41	9.40	9.41	468936	175	-0.52	          8.06	9.05	
601857	中国石油	0.38	428351584	7.98	7.98	7.99	537580	10	-0.12	          0.03	7.95	
000488	晨鸣纸业	2.61	427250752	16.54	16.53	16.54	260214	2225	0.12	          2.35	16.21	
600570	恒生电子	3.06	426226208	44.76	44.77	44.78	95485	12	0.09	          1.55	43.70	
300170	汉得信息	8.85	422371072	12.79	12.78	12.79	337546	1737	0.16	          5.08	11.85	
300088	长信科技	2.67	416706304	6.93	6.92	6.93	603304	8815	0.43	          2.67	6.85	
601989	中国重工	0.74	415257376	5.44	5.44	5.45	762847	267	0.18	          0.42	5.43	
000661	长春高新	4.67	410411072	160.32	160.32	160.48	25971	152	-0.16	          1.53	154.50	
000671	阳 光 城	3.45	410194112	7.79	7.78	7.79	536543	3393	0.26	          1.65	7.64	
002907	华森制药	6.77	407559328	30.60	30.60	30.61	134703	2890	-2.23	         33.63	28.90	
002110	三钢闽光	2.81	406300768	20.88	20.87	20.88	198016	4114	0.34	          2.00	20.30	
600111	北方稀土	2.79	405913312	12.14	12.13	12.14	336101	31	-0.07	          0.93	11.82	
300107	建新股份	5.52	402948128	9.17	9.14	9.17	458347	8187	2.12	         14.00	8.52	
600782	新钢股份	2.73	400265184	7.16	7.16	7.17	566876	28	0.28	          2.03	7.08	
