代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
002195	二三四五	2.81	544591232	6.22	6.22	6.23	892772	15526	0.16	          2.85	5.97	
000410	沈阳机床	10.05	544436096	10.51	10.51	--  	522602	152	0.00	          7.06	10.51	
601225	陕西煤业	-1.03	543322112	8.64	8.63	8.64	628243	135	0.35	          0.63	8.58	
600845	宝信软件	10.00	541779008	27.06	27.06	--  	207357	10	0.00	          3.96	24.23	
600276	恒瑞医药	2.36	541709888	74.19	74.22	74.24	73570	2	-0.10	          0.26	72.30	
600522	中天科技	1.11	539252928	12.79	12.78	12.79	422953	27	0.00	          1.55	12.56	
002396	星网锐捷	7.66	536378176	23.04	23.04	23.05	240586	1883	-0.29	          4.50	21.42	
000636	风华高科	2.93	534157952	12.30	12.29	12.30	437300	4837	0.08	          5.00	11.80	
601636	旗滨集团	3.73	533049856	6.95	6.95	6.96	773741	44	0.43	          3.08	6.76	
603559	中通国脉	2.01	531575680	32.49	32.50	32.52	163175	20	0.03	         20.53	31.06	
601933	永辉超市	0.69	531127264	10.27	10.27	10.28	519324	25	0.29	          0.80	10.17	
002439	启明星辰	4.77	527996384	24.40	24.39	24.40	218800	1932	0.08	          3.80	23.15	
002156	通富微电	1.83	520640192	11.71	11.71	11.72	448576	7876	0.69	          4.61	11.31	
000882	华联股份	-0.59	519209024	3.38	3.38	3.39	1517497	19583	0.00	          6.82	3.56	
000681	视觉中国	10.00	518313408	27.18	27.18	--  	200292	1119	0.00	          7.16	24.36	
002229	鸿博股份	6.81	516591072	11.45	11.44	11.45	453098	3351	0.44	         12.29	10.93	
601328	交通银行	-0.15	514223104	6.49	6.48	6.49	791786	55	-0.14	          0.20	6.45	
002304	洋河股份	2.79	513482912	121.28	121.26	121.28	42582	210	-0.04	          0.34	118.00	
000786	北新建材	2.24	512547424	24.23	24.23	24.24	212065	2023	0.00	          1.50	23.47	
300676	华大基因	1.20	511639328	171.00	171.00	171.01	30321	547	-0.02	          7.56	166.33	
300083	劲胜智能	9.95	509967072	8.29	8.29	--  	642202	8995	0.00	          5.39	7.42	
600797	浙大网新	9.74	508263456	11.94	11.94	11.97	443783	3102	1.44	          5.28	10.78	
000735	罗 牛 山	3.17	503540224	8.45	8.44	8.45	592067	5040	-0.11	          5.59	8.10	
002839	张家港行	1.14	502275584	9.74	9.74	9.75	518618	7511	0.10	          6.22	9.51	
300377	赢时胜	6.17	501176832	13.07	13.06	13.07	392183	5480	-0.22	          7.69	12.11	
300027	华谊兄弟	1.93	498350688	10.01	10.01	10.02	502292	7838	0.10	          2.62	9.75	
000517	荣安地产	0.43	497809856	4.65	4.65	4.66	1086041	22114	0.43	          3.58	4.71	
601009	南京银行	1.22	496885440	9.16	9.16	9.17	543963	125	-0.42	          0.67	9.03	
603505	金石资源	7.82	495541696	24.68	24.69	24.70	201805	5	0.28	         33.63	23.19	
600104	上汽集团	0.86	494880160	33.93	33.91	33.95	146377	29	0.12	          0.13	33.53	
600720	祁连山	2.63	494028384	11.30	11.29	11.30	441553	281	0.09	          5.69	10.85	
300738	奥飞数据	6.86	490753536	60.40	60.39	60.40	81125	918	-0.06	         49.71	56.52	
600171	上海贝岭	2.70	489477600	13.70	13.69	13.70	362122	214	0.29	          5.37	13.14	
300024	机器人	3.79	488939936	18.62	18.62	18.63	266600	3985	0.22	          1.76	17.92	
300315	掌趣科技	3.21	483887616	6.76	6.75	6.76	727230	22365	0.00	          2.75	6.50	
300287	飞利信	5.57	483848448	9.29	9.28	9.29	534067	7849	0.00	          5.06	8.84	
000661	长春高新	-1.55	478519584	159.88	159.88	159.90	30011	149	0.01	          1.77	161.50	
300133	华策影视	0.54	478179136	13.06	13.06	13.07	369939	7467	0.38	          3.03	12.75	
300364	中文在线	2.68	476523904	11.88	11.87	11.88	409411	8510	0.42	          9.07	11.33	
002594	比亚迪	-0.38	472004128	63.27	63.27	63.28	74935	630	0.13	          0.66	62.95	
002359	北讯集团	-6.00	470040096	26.16	26.15	26.16	174382	2944	-0.10	          2.46	27.31	
600018	上港集团	-0.53	467241024	7.55	7.55	7.56	621540	44	0.00	          0.27	7.53	
300324	旋极信息	2.42	464049920	17.32	17.32	17.33	271129	2372	-0.05	          4.00	16.80	
600893	航发动力	0.69	462562368	26.09	26.07	26.08	178566	5	-0.07	          0.92	25.79	
601169	北京银行	0.68	461513888	7.36	7.36	7.38	627908	82	-0.13	          0.34	7.27	
000055	方大集团	-1.17	460986624	8.45	8.45	8.46	551287	11541	0.24	          8.13	8.32	
002281	光迅科技	2.43	458613504	26.56	26.56	26.57	174211	1808	0.04	          2.80	25.60	
300212	易华录	3.85	457952640	32.11	32.11	32.12	144889	5516	0.25	          4.75	30.40	
000100	TCL 集团	-1.07	453860448	3.71	3.70	3.71	1220983	19653	0.27	          1.04	3.70	
300586	美联新材	0.26	449476800	41.89	41.89	41.90	106551	1377	0.36	         43.52	42.03	
300277	海联讯	9.97	447363072	11.25	11.25	--  	405604	51	0.00	         12.13	10.38	
600183	生益科技	2.08	445238208	17.70	17.71	17.72	254597	14	0.23	          1.75	17.29	
000338	潍柴动力	0.00	444598336	8.50	8.50	8.51	525276	4627	-0.22	          1.22	8.38	
300033	同花顺	4.72	443220288	50.80	50.79	50.80	88734	1603	0.51	          3.37	48.48	
002202	金风科技	0.45	438332448	17.75	17.75	17.76	245238	2192	0.00	          0.87	17.28	
300666	江丰电子	7.39	437263968	55.98	55.98	55.99	80212	1412	0.14	         14.67	51.52	
300274	阳光电源	4.85	435681984	17.28	17.28	17.29	256344	2184	-0.28	          2.42	16.49	
002016	世荣兆业	-0.51	432347680	13.63	13.63	13.64	320710	6472	0.00	          4.96	13.46	
600000	浦发银行	0.08	429574080	12.47	12.46	12.47	344910	213	0.08	          0.12	12.40	
300226	上海钢联	2.17	428469216	64.40	64.38	64.40	67581	2087	0.92	          4.48	61.25	
002797	第一创业	0.12	427715200	8.64	8.63	8.64	497602	11045	0.23	          2.59	8.52	
600158	中体产业	4.33	427064384	12.28	12.27	12.29	348225	50	0.08	          5.30	11.85	
300740	御家汇	1.30	425692576	42.71	42.71	42.73	99718	1742	0.14	         24.93	41.20	
002547	春兴精工	-2.31	423387200	8.90	8.90	8.91	471066	6563	0.45	          5.89	9.12	
600410	华胜天成	10.03	423156256	10.75	10.75	--  	408869	118	0.00	          3.74	9.68	
002050	三花智控	1.59	422229856	20.42	20.42	20.43	208650	5649	0.15	          1.33	19.96	
000970	中科三环	2.57	421865632	12.35	12.34	12.35	347202	5144	-0.15	          3.26	11.89	
300044	赛为智能	2.78	418165312	17.73	17.73	17.74	239176	4638	0.17	          9.89	17.00	
