代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
300709	精研科技	3.62	130718184	2.17	62.12	62.16	21235	135	-0.01	          9.65	59.51	
300591	万里马	9.96	130362384	0.75	8.27	8.28	159655	4439	0.61	         14.62	7.49	
300736	百华悦邦	3.78	129604336	1.59	43.69	43.70	29861	497	-0.01	         21.99	42.09	
01513	丽珠医药	7.42	129324656	4.700	67.650	68.000	1953476	8800	0.74	          1.03	64.000	
300722	新余国科	4.79	128896200	1.56	34.10	34.12	38485	646	0.06	         19.24	32.70	
300681	英搏尔	6.56	127322872	3.46	56.23	56.30	23248	290	-0.29	         12.30	52.63	
600998	九州通	2.47	127244312	0.43	17.81	17.82	71826	6	0.00	          0.44	17.35	
000852	石化机械	4.11	127059256	0.34	8.60	8.61	150705	1993	0.23	          2.52	8.20	
000650	仁和药业	5.09	126856664	0.25	5.15	5.16	246777	2417	0.00	          1.99	4.91	
002900	哈三联	5.73	126813936	1.43	26.38	26.39	48449	392	0.19	          9.18	24.89	
002513	蓝丰生化	10.02	126765304	0.95	10.43	--  	121941	82	0.00	          4.87	10.19	
002665	首航节能	3.91	126661304	0.25	6.63	6.64	194656	4145	-0.14	          1.25	6.37	
603963	大理药业	10.01	126243448	2.57	28.25	--  	45717	3	0.00	         18.29	25.52	
300543	朗科智能	4.47	125225928	1.06	24.78	24.79	50357	348	-0.07	         11.82	23.63	
000027	深圳能源	1.87	124286328	0.11	5.98	5.99	204828	1348	0.17	          0.52	6.08	
300357	我武生物	8.20	123941904	4.09	53.99	54.00	23586	269	0.62	          1.67	49.98	
002250	联化科技	5.06	122105920	0.51	10.58	10.59	117109	1449	-0.08	          1.56	10.09	
002843	泰嘉股份	5.82	121429488	1.00	18.19	18.20	65794	431	-0.04	          7.83	17.14	
300726	宏达电子	3.17	121158400	0.74	24.11	24.12	50768	931	0.00	         12.66	23.37	
300698	万马科技	1.75	120090768	0.41	23.81	23.82	50274	668	-0.37	         15.01	23.56	
002365	永安药业	2.09	119999440	0.61	29.77	29.78	40395	403	0.00	          2.54	29.06	
002585	双星新材	6.12	116621464	0.38	6.58	6.59	180372	822	0.00	          2.59	6.17	
002898	赛隆药业	10.01	116481872	1.82	20.00	--  	59633	80	0.00	         14.91	18.16	
603183	建研院	4.90	116429952	1.73	37.01	37.02	31670	15	-0.07	         14.40	35.30	
300339	润和软件	2.17	116321496	0.22	10.38	10.39	112108	1738	0.68	          2.17	10.14	
002042	华孚时尚	8.27	116310696	0.99	12.95	12.96	91730	499	-0.53	          1.10	11.96	
300729	乐歌股份	3.94	115796792	1.09	28.79	28.80	40462	323	-0.02	         18.82	27.69	
002887	绿茵生态	3.21	114264072	2.24	71.94	71.95	16172	339	0.15	          8.09	69.76	
00916	龙源电力	3.09	112568384	0.160	5.330	5.340	21104324	1300000	-0.37	          0.63	5.200	
300620	光库科技	3.39	111632240	1.17	35.71	35.72	30952	311	-0.07	         14.07	35.97	
603917	合力科技	2.40	110569264	0.57	24.33	24.34	45600	118	0.16	         16.29	23.80	
300117	嘉寓股份	5.76	110066720	0.33	6.05	6.06	184644	6460	0.33	          2.59	5.72	
002011	盾安环境	4.19	109755752	0.28	6.95	6.96	159694	2063	-0.13	          1.90	6.68	
002562	兄弟科技	2.04	109700752	0.30	14.97	14.98	73546	1182	-0.06	          2.36	14.74	
08083	中国创新支付	17.02	109627368	0.080	--  	--  	212912000	100000	1.85	          3.05	0.470	
002282	博深工具	6.63	109618248	0.83	13.34	13.35	83819	1764	0.38	          4.55	12.50	
002370	亚太药业	9.79	109514520	1.48	16.59	16.60	67919	1015	-0.05	          1.66	15.16	
600780	通宝能源	6.16	109355616	0.26	4.49	4.50	248384	413	-0.66	          2.17	4.18	
603289	泰瑞机器	2.61	109103576	0.42	16.49	16.51	66424	34	0.36	         13.02	16.05	
603916	苏博特	3.19	105280336	0.47	15.22	15.23	69493	2	-0.12	          9.14	14.64	
300689	澄天伟业	4.08	103873352	1.51	38.53	38.54	27129	354	0.08	         15.96	36.68	
002639	雪人股份	1.06	103425960	0.08	7.66	7.67	134092	618	-0.12	          3.06	7.49	
002906	华阳集团	2.50	102959048	0.51	20.93	20.94	49640	1464	0.14	          6.79	20.42	
000666	经纬纺机	1.27	102770080	0.22	17.57	17.58	58902	727	-0.05	          1.95	17.31	
300298	三诺生物	1.12	102226504	0.25	22.54	22.58	45011	217	0.13	          1.50	23.01	
300467	迅游科技	4.11	101671232	1.64	41.36	41.54	24665	75	0.53	          2.48	39.90	
002494	华斯股份	4.67	101268544	0.38	8.51	8.52	120321	1307	-0.22	          4.08	8.14	
002418	康盛股份	2.34	100879152	0.21	9.15	9.19	111738	2442	0.88	          2.02	8.96	
600750	江中药业	1.39	100390840	0.34	24.76	24.77	40793	1	0.08	          1.36	24.33	
300428	四通新材	5.59	99437792	0.97	18.31	18.32	55112	665	-0.10	          8.83	17.35	
002836	新宏泽	4.97	98848400	0.86	18.15	18.16	54275	717	0.06	          9.63	17.20	
300683	海特生物	3.49	98296920	1.65	48.97	48.98	20026	213	-0.03	          7.75	47.29	
600496	精工钢构	3.31	97364448	0.12	3.74	3.75	262647	7	-0.26	          1.74	3.63	
300559	佳发安泰	3.94	97341392	1.84	48.48	48.49	19965	155	-0.07	          4.22	47.10	
603535	嘉诚国际	3.57	97250128	0.81	23.49	23.50	41126	10	0.17	         10.94	23.27	
01888	建滔积层板	5.04	96893256	0.680	14.140	14.160	6919985	101500	0.14	          0.22	13.780	
600423	*ST柳化	3.21	96889272	0.15	4.83	4.86	201547	863	0.42	          5.05	4.65	
00148	建滔化工	0.66	96671064	0.250	38.200	38.250	2528250	88000	-0.13	          0.24	38.450	
600933	爱柯迪	2.46	96492936	0.35	14.61	14.62	66536	26	0.07	          4.81	14.18	
002853	皮阿诺	2.87	96474120	0.79	28.32	28.33	34422	650	0.07	          8.83	27.20	
300529	健帆生物	5.70	96295984	1.70	31.50	31.51	30888	287	0.10	          2.92	29.84	
601588	北辰实业	4.45	96211680	0.20	4.68	4.69	207105	500	-0.20	          0.78	4.44	
603320	迪贝电气	9.28	96045776	2.04	24.00	24.08	41217	4	1.69	         16.49	22.11	
600722	金牛化工	4.78	95245152	0.30	6.56	6.57	146867	24	0.31	          2.16	6.27	
300705	九典制药	6.26	93887368	1.53	25.98	25.99	36708	569	-0.07	         12.51	24.39	
300304	云意电气	1.58	93616024	0.10	6.44	6.45	145176	1292	0.00	          1.73	6.30	
603722	阿科力	1.70	92674912	0.55	32.89	32.90	28555	21	0.92	         13.16	32.03	
300556	丝路视觉	9.99	92455120	2.01	22.14	--  	43193	28	0.00	          5.56	20.10	
603717	天域生态	10.02	92171552	2.15	23.61	--  	40907	2	0.00	          9.47	21.50	
000708	大冶特钢	1.15	92117048	0.13	11.39	11.40	81052	1435	0.00	          1.80	11.19	
000638	万方发展	3.67	90617984	0.33	9.30	9.31	98931	994	0.11	          3.20	9.05	
01919	中远海控	5.61	89335648	0.220	4.130	4.140	21846114	43500	0.00	          0.85	3.960	
300721	怡达股份	3.76	88836600	1.09	30.09	30.10	29969	655	0.70	         14.95	28.96	
300279	和晶科技	7.17	88479456	0.86	12.85	12.86	69700	858	0.86	          2.39	12.04	
