代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
600419	天润乳业	0.32	40311144	46.72	46.57	0	8744	0.23	46.77	47.14	45.14	--  	0.00	4.29	0.15	    678	46.64	0.000	121694.07	
600097	开创国际	1.63	40185480	17.47	17.19	0	23210	-0.11	17.51	17.52	17.03	--  	0.00	2.85	0.28	   1300	17.46	-0.000	169292.63	
600586	金晶科技	1.77	39679080	4.59	4.51	0	87253	0.00	4.52	4.63	4.47	--  	0.00	3.55	0.08	   1991	4.59	0.000	982696.13	
600386	北巴传媒	2.27	39656944	13.09	12.80	0	30673	0.00	12.85	13.10	12.71	--  	0.00	3.05	0.29	   1240	13.09	0.000	349127.81	
600603	广汇物流	2.70	39616200	13.32	12.97	0	30124	-0.29	13.00	13.43	12.87	--  	0.00	4.32	0.35	   1357	13.32	-0.000	651738.19	
300395	菲利华	1.06	39266884	15.25	15.09	0	26289	0.00	15.07	15.28	14.73	--  	0.00	3.64	0.16	   1012	15.24	0.000	106810.92	
000972	*ST中基	3.90	39207588	4.26	4.10	0	94323	0.00	4.09	4.28	4.05	--  	0.00	5.61	0.16	   1123	4.25	0.000	223957.47	
300405	科隆精化	2.24	39164220	33.80	33.06	0	11687	-0.96	33.00	34.50	32.65	--  	0.00	5.60	0.74	   1405	33.80	-0.000	174340.00	
300366	创意信息	1.27	39029352	32.80	32.39	0	12070	-0.09	32.04	32.98	31.71	--  	0.00	3.92	0.41	   1199	32.72	-0.000	349058.91	
000505	*ST珠江	1.00	38787200	11.10	10.99	0	34925	0.00	11.10	11.25	10.98	--  	0.00	2.46	0.11	    804	11.10	0.000	109095.90	
00315	数码通电讯	2.97	38651900	11.080	10.760	500	3513079	0.54	10.880	11.080	10.860	--  	2.44	2.04	0.320	    748	11.040	11.080	980305.81	
600815	*ST厦工	4.24	38649764	4.67	4.48	0	84128	0.00	4.50	4.68	4.46	--  	0.00	4.91	0.19	   1134	4.66	0.000	817679.75	
002761	多喜爱	1.59	38502660	54.19	53.34	0	7149	0.00	53.02	54.40	53.02	--  	0.00	2.59	0.85	    700	54.19	-0.000	86451.09	
300167	迪威视讯	0.48	38419332	12.60	12.54	0	30640	0.07	12.46	12.70	12.45	--  	0.00	1.99	0.06	    816	12.59	0.000	122791.31	
600077	宋都股份	2.00	38281516	4.09	4.01	0	95141	0.00	3.99	4.10	3.94	--  	0.00	3.99	0.08	   1127	4.09	0.000	1019739.13	
300132	青松股份	4.00	37825300	8.57	8.24	0	44767	0.00	8.23	8.58	8.20	--  	0.00	4.61	0.33	   1163	8.56	-0.000	73899.46	
600689	上海三毛	2.67	37778672	13.84	13.48	0	27732	-0.07	13.56	13.87	13.40	--  	0.00	3.49	0.36	   1474	13.84	0.000	77253.50	
600099	林海股份	1.07	37530556	14.16	14.01	0	26661	0.21	14.01	14.22	13.93	--  	0.00	2.07	0.15	    868	14.16	-0.000	60970.71	
600483	福能股份	2.68	37005908	10.72	10.44	0	35052	-0.18	10.53	10.75	10.44	--  	0.00	2.97	0.28	   1594	10.71	0.000	1808953.75	
00816	华电福新	4.52	36933612	1.850	1.770	2000	20294000	1.09	1.780	1.850	1.770	--  	3.08	4.52	0.080	    834	1.840	1.850	10284263.00	
300439	美康生物	2.52	36899800	23.16	22.59	0	16138	0.04	22.51	23.16	22.44	--  	0.00	3.19	0.57	   1256	23.15	-0.000	259082.30	
002623	亚玛顿	3.18	36546052	27.27	26.43	0	13564	0.00	26.43	27.28	26.43	--  	0.00	3.22	0.84	   1238	27.27	0.000	423276.31	
00751	创维数码	2.06	36505732	4.450	4.360	2000	8251582	0.23	4.440	4.490	4.380	--  	2.16	2.52	0.090	    573	4.440	4.450	4196700.00	
002073	软控股份	2.40	36505556	9.37	9.15	0	39717	0.10	9.12	9.37	9.02	--  	0.00	3.83	0.22	   1603	9.36	-0.000	836229.56	
000932	*ST华菱	0.49	36197680	4.14	4.12	0	88330	0.24	4.11	4.14	4.05	--  	0.00	2.18	0.02	   1027	4.13	-0.000	7151609.00	
300154	瑞凌股份	3.03	36190716	8.85	8.59	0	41743	0.00	8.64	8.87	8.52	--  	0.00	4.07	0.26	   1417	8.85	0.000	185697.69	
600599	熊猫金控	0.17	36139128	23.39	23.35	0	15507	-0.04	23.26	23.60	22.94	--  	0.00	2.83	0.04	   1169	23.41	-0.000	122866.81	
600621	华鑫股份	2.16	36105256	11.34	11.10	0	32225	0.17	11.10	11.35	11.06	--  	0.00	2.61	0.24	    997	11.33	0.000	431681.44	
01528	红星美凯龙	3.84	35951732	8.390	8.080	200	4305400	0.00	8.160	8.450	8.120	--  	0.00	4.08	0.310	    452	8.380	8.390	9499472.00	
600767	*ST运盛	0.95	35532304	8.48	8.40	0	42520	0.11	8.30	8.48	8.25	--  	0.00	2.74	0.08	    954	8.48	-0.000	62254.78	
603306	华懋科技	0.81	35166460	30.97	30.72	0	11452	-0.03	30.74	30.98	30.41	--  	0.00	1.86	0.25	    926	30.97	-0.000	156188.27	
002615	哈尔斯	2.33	35133572	16.25	15.88	0	21799	0.12	16.23	16.27	15.92	--  	0.00	2.20	0.37	   1663	16.24	0.000	141206.31	
603686	龙马环卫	3.58	35098612	33.23	32.08	0	10729	-0.03	32.26	33.28	32.01	--  	0.00	3.96	1.15	   1018	33.20	-0.000	256710.75	
002150	通润装备	5.01	35055316	11.95	11.38	0	30104	-0.08	11.39	11.99	11.16	--  	0.00	7.29	0.57	   1598	11.90	-0.000	138009.52	
00341	大家乐集团	0.96	34897352	26.300	26.050	2000	1326000	0.38	26.050	26.600	26.050	--  	0.68	2.11	0.250	    169	26.200	26.300	432864.91	
600693	东百集团	0.77	34803968	13.06	12.96	0	26801	-0.07	12.95	13.13	12.78	--  	0.00	2.70	0.10	    819	13.04	0.000	620758.06	
600833	第一医药	3.27	34778100	17.39	16.84	0	20400	0.52	16.79	17.50	16.71	--  	0.00	4.69	0.55	    837	17.36	-0.000	125362.45	
000899	赣能股份	3.38	34736096	8.57	8.29	0	41098	0.00	8.32	8.58	8.31	--  	0.00	3.26	0.28	   2230	8.57	-0.000	769077.81	
600346	恒力股份	1.89	34561260	7.02	6.89	0	49778	0.00	6.89	7.03	6.87	--  	0.00	2.32	0.13	   1368	7.01	-0.000	2023538.38	
02314	理文造纸	0.94	34445968	6.440	6.380	1000	5338000	-0.16	6.490	6.490	6.400	--  	1.71	1.41	0.060	    839	6.440	6.440	3500026.50	
603333	明星电缆	6.29	34370632	7.77	7.31	0	45579	-0.12	7.31	7.85	7.20	--  	0.00	8.89	0.46	   1276	7.77	-0.000	165349.25	
