代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
000915	山大华特	3.82	120349752	22.84	22.84	22.85	53175	908	0.00	          2.28	22.14	
601607	上海医药	0.64	120287152	22.01	22.04	22.05	54585	305	-0.17	          0.28	22.08	
603363	傲农生物	4.13	119602504	15.64	15.64	15.65	76635	1	0.26	         12.77	15.21	
601198	东兴证券	0.45	119327680	13.39	13.38	13.39	89212	14	0.37	          0.71	13.35	
000059	华锦股份	2.24	118960168	9.60	9.59	9.60	124429	1524	0.10	          0.78	9.53	
600985	雷鸣科化	10.03	116357456	15.14	15.14	--  	79022	7	0.00	          3.01	13.99	
002856	美芝股份	7.17	115493296	26.90	26.89	26.90	43599	1209	-0.36	         17.21	25.28	
603009	北特科技	5.95	114710952	11.39	11.39	11.40	103377	16	0.89	          3.22	10.81	
601952	苏垦农发	2.98	114584640	12.11	12.11	12.12	94955	169	0.00	          3.65	11.95	
603676	卫信康	7.15	111864856	14.24	14.24	14.25	81227	19	1.64	         12.89	13.50	
600886	国投电力	1.49	111149648	6.79	6.79	6.80	164348	13	-0.14	          0.24	6.70	
603444	吉比特	1.23	110938432	145.47	145.48	145.50	7633	7	0.01	          1.86	145.00	
600705	中航资本	1.13	108035704	5.36	5.35	5.36	201874	14	0.00	          0.26	5.34	
601128	常熟银行	1.81	105939864	7.31	7.31	7.32	145190	70	0.00	          1.46	7.28	
601375	中原证券	2.31	104764192	6.21	6.21	6.22	169366	27	0.49	          0.94	6.13	
600123	兰花科创	2.05	104681624	8.46	8.46	8.47	124219	5	0.00	          1.09	8.37	
002923	润都股份	2.23	104288464	32.95	32.95	32.96	31931	875	0.43	         12.77	32.65	
000623	吉林敖东	1.27	102259448	20.69	20.69	20.70	49510	225	0.00	          0.45	20.64	
601985	中国核电	1.41	101265800	7.20	7.19	7.20	140984	34	0.00	          0.33	7.15	
002428	云南锗业	3.79	99499896	11.23	11.23	11.24	88917	1403	-0.08	          1.38	10.96	
603011	合锻智能	10.05	97374120	8.10	8.10	--  	122780	108	0.00	          2.98	7.50	
601098	中南传媒	1.75	97351496	13.37	13.36	13.37	73222	17	-0.44	          0.41	13.21	
600688	上海石化	2.07	96668400	5.91	5.90	5.91	164551	96	-0.16	          0.22	5.85	
001965	招商公路	2.20	94240608	9.75	9.75	9.76	97012	1321	0.10	          1.75	9.60	
600155	宝硕股份	2.61	89917056	9.44	9.44	9.45	95525	39	0.21	          0.85	9.30	
002445	中南文化	1.82	89757784	12.87	12.82	12.87	70686	646	-0.22	          0.94	12.75	
000937	冀中能源	1.44	87950712	5.62	5.61	5.62	156543	2795	0.00	          0.54	5.57	
000686	东北证券	0.89	87392968	7.90	7.89	7.90	110522	924	0.13	          0.47	7.87	
000758	中色股份	3.31	87264832	6.24	6.23	6.24	140627	1262	0.00	          0.71	6.10	
002895	川恒股份	3.79	86869792	21.65	21.65	21.66	40444	1027	0.42	         10.11	21.18	
002893	华通热力	4.93	86334256	22.99	22.99	23.00	38152	824	-0.03	         12.72	22.40	
600395	盘江股份	2.30	86053488	6.68	6.67	6.68	129851	46	0.30	          0.78	6.60	
603655	朗博科技	3.38	81740768	19.25	19.25	19.26	42715	8	0.21	         16.12	18.97	
600456	宝钛股份	3.42	81122952	18.12	18.11	18.12	44919	200	0.22	          1.04	17.68	
000736	中交地产	1.32	80476464	17.61	17.61	17.65	45663	757	0.17	          1.54	17.60	
601117	中国化学	1.35	79806080	6.75	6.75	6.76	118539	20	-0.14	          0.24	6.75	
601618	中国中冶	1.46	79607936	4.17	4.16	4.17	191463	60	0.24	          0.11	4.13	
600023	浙能电力	1.27	78806456	5.58	5.58	5.59	141848	5	0.18	          0.10	5.54	
601001	大同煤业	2.34	78733864	6.13	6.11	6.12	129233	197	0.16	          0.77	6.03	
600966	博汇纸业	1.74	78415256	5.86	5.85	5.86	134136	300	0.17	          1.00	5.83	
603157	拉夏贝尔	4.14	77966616	15.35	15.34	15.35	51123	42	0.07	          9.33	14.93	
603225	新凤鸣	1.38	76898080	35.91	35.91	35.92	21427	1	0.20	          2.77	35.74	
002807	江阴银行	1.84	76709304	7.73	7.73	7.74	99404	2127	-0.12	          1.39	7.66	
600170	上海建工	1.07	76250504	3.79	3.79	3.80	201728	26	-0.25	          0.24	3.76	
002911	佛燃股份	3.17	76233936	21.83	21.82	21.83	35189	982	0.00	          6.28	21.49	
600528	中铁工业	3.03	75880984	10.55	10.55	10.56	72170	2	0.09	          0.49	10.32	
601898	中煤能源	1.65	72440752	5.53	5.52	5.53	131464	1	0.18	          0.14	5.48	
603711	香飘飘	4.30	72284464	22.30	22.29	22.31	32578	27	0.41	          8.14	21.56	
603286	日盈电子	3.05	72204912	21.61	21.60	21.62	33700	1	0.51	         15.31	21.24	
000836	鑫茂科技	1.47	71555976	4.83	4.82	4.83	149296	2758	0.00	          1.26	4.81	
600037	歌华有线	0.42	69461952	11.97	11.96	11.97	58110	10	0.17	          0.50	11.97	
002051	中工国际	2.32	68789128	15.86	15.85	15.86	43454	863	0.06	          0.39	15.66	
600997	开滦股份	1.72	67935864	5.92	5.93	5.94	115045	5	0.00	          0.93	5.87	
002369	卓翼科技	2.77	67181608	7.43	7.43	7.44	90639	1065	0.13	          2.16	7.33	
002373	千方科技	1.83	65017160	12.83	12.82	12.83	50909	489	0.16	          0.62	12.70	
600061	国投资本	0.25	64729104	12.17	12.18	12.19	53229	369	0.16	          0.14	12.18	
000552	靖远煤电	2.59	64674132	3.57	3.56	3.57	182436	1339	0.28	          1.17	3.50	
603477	振静股份	2.34	61394380	11.36	11.36	11.37	54132	70	-0.08	          9.02	11.34	
603912	佳力图	3.52	61228584	20.60	20.59	20.60	29954	6	0.10	          8.10	20.26	
603776	永安行	2.42	59239272	49.93	49.96	49.97	11942	13	-0.01	          4.98	49.01	
600868	梅雁吉祥	2.22	56576576	4.14	4.14	4.15	137838	25	0.24	          0.73	4.06	
300093	金刚玻璃	2.32	55140192	7.94	7.94	7.95	69906	1795	0.13	          3.25	7.83	
600873	梅花生物	2.15	54799980	4.75	4.74	4.75	116015	3	0.00	          0.37	4.69	
002865	钧达股份	1.93	54212832	16.41	16.40	16.41	32950	393	-0.23	         10.98	16.01	
300021	大禹节水	1.37	54070096	5.92	5.91	5.92	91685	861	0.34	          1.40	5.94	
600355	精伦电子	0.62	53509996	4.84	4.83	4.84	110773	50	0.00	          2.25	4.85	
600657	信达地产	2.01	52761464	5.57	5.56	5.57	95288	299	0.00	          0.63	5.51	
600508	上海能源	1.09	52030400	12.05	12.05	12.06	43231	12	0.00	          0.60	11.99	
603813	原尚股份	4.15	51164436	24.33	24.33	24.35	21351	43	0.00	          9.67	23.80	
603970	中农立华	2.19	50934220	22.35	22.34	22.35	22843	50	0.13	          6.85	22.02	
603165	荣晟环保	2.50	50905820	45.18	45.17	45.18	11337	4	0.09	          3.58	44.50	
600978	宜华生活	1.06	50458908	8.57	8.56	8.57	58859	5	0.12	          0.40	8.48	
600026	中远海能	1.64	49380064	5.59	5.58	5.59	88652	10	0.18	          0.32	5.55	
000951	中国重汽	2.10	49092020	15.59	15.59	15.60	31536	401	0.00	          0.47	15.48	
000559	万向钱潮	2.47	48680512	8.72	8.72	8.73	55997	664	-0.10	          0.20	8.55	
600582	天地科技	1.79	48254612	4.56	4.55	4.56	106049	586	-0.21	          0.26	4.51	
600185	格力地产	2.14	48137084	5.24	5.23	5.24	92389	21	0.00	          0.45	5.19	
600642	申能股份	1.22	46913664	5.80	5.79	5.80	81085	10	0.17	          0.18	5.78	
601015	陕西黑猫	2.34	46257872	8.32	8.32	8.33	55758	4	0.12	          0.60	8.20	
000016	深康佳Ａ	1.91	46066152	5.88	5.88	5.89	78734	1460	0.00	          0.49	5.85	
600828	茂业商业	1.18	42713716	6.88	6.87	6.88	62599	7	0.00	          0.98	6.81	
601801	皖新传媒	2.54	42286692	8.89	8.87	8.89	47875	7	0.23	          0.24	8.76	
603108	润达医疗	1.00	41990552	13.14	13.12	13.13	32117	7	0.23	          1.45	13.00	
600269	赣粤高速	1.42	41489612	4.99	4.99	5.00	83468	100	0.20	          0.36	4.95	
600546	山煤国际	2.43	41374472	4.64	4.64	4.65	89552	1	0.22	          0.45	4.55	
002544	杰赛科技	2.32	40697908	12.33	12.33	12.34	33092	403	-0.15	          0.65	12.12	
002921	联诚精密	2.26	40313664	26.74	26.71	26.74	15105	646	0.22	          7.55	26.50	
603289	泰瑞机器	2.86	39655300	14.75	14.75	14.76	26975	10	0.14	          5.29	14.58	
300191	潜能恒信	3.61	39119608	18.93	18.93	18.94	20816	558	0.05	          1.01	18.63	
600308	华泰股份	1.43	39019416	6.40	6.40	6.41	61174	80	0.00	          0.52	6.36	
603386	广东骏亚	2.60	38496632	14.20	14.21	14.22	27220	2	-0.34	          5.39	13.96	
600649	城投控股	0.36	38281608	8.45	8.44	8.46	45267	40	0.12	          0.19	8.43	
000959	首钢股份	2.19	38019524	5.61	5.61	5.62	68216	856	0.36	          0.23	5.53	
002114	罗平锌电	1.41	37302480	15.87	15.86	15.87	23519	274	-0.05	          0.73	15.65	
600376	首开股份	1.90	34385624	9.14	9.13	9.14	37784	4	0.00	          0.15	9.08	
002101	广东鸿图	0.11	33989700	18.65	18.65	18.66	18156	311	0.00	          0.73	18.79	
002847	盐津铺子	4.69	33607536	22.54	22.54	22.55	15156	381	0.18	          4.29	21.60	
601633	长城汽车	0.67	33454096	11.97	11.96	11.97	28023	4	0.17	          0.05	11.99	
603856	东宏股份	1.53	32496712	16.54	16.54	16.55	19654	49	0.06	          3.98	16.37	
600506	香梨股份	5.55	32220092	14.26	14.26	14.27	22740	11	-0.13	          1.54	13.73	
000929	兰州黄河	0.77	31606612	7.85	7.85	7.86	40418	226	0.00	          2.18	7.77	
002630	华西能源	1.21	31232448	11.67	11.66	11.67	26874	721	0.00	          0.45	11.60	
000543	皖能电力	1.35	31212410	4.52	4.51	4.52	69338	951	0.00	          0.39	4.49	
603518	维格娜丝	5.21	31144510	21.39	21.38	21.39	14906	3	-0.27	          1.01	20.45	
600027	华电国际	0.88	29487272	3.45	3.45	3.46	85786	1	0.00	          0.13	3.44	
300307	慈星股份	2.05	29449064	6.98	6.98	6.99	42477	597	-0.13	          0.54	6.85	
600694	大商股份	1.25	29023772	35.70	35.71	35.72	8147	39	0.03	          0.28	35.55	
600200	江苏吴中	1.39	29018492	9.48	9.47	9.48	30617	77	-0.10	          0.43	9.44	
002123	梦网集团	1.73	28202482	9.42	9.41	9.42	30096	661	0.00	          0.51	9.33	
600126	杭钢股份	1.35	28070844	6.76	6.74	6.75	41719	12	0.00	          0.45	6.70	
601866	中远海发	1.61	27760456	3.15	3.14	3.15	88617	130	0.00	          0.11	3.12	
000971	高升控股	2.01	27703664	11.16	11.16	11.17	24759	570	0.00	          0.85	11.00	
603043	广州酒家	1.84	27532242	17.74	17.73	17.74	15578	20	0.28	          3.12	17.52	
002579	中京电子	7.24	27294252	8.15	8.14	8.15	33693	730	0.00	          0.98	7.66	
000638	万方发展	2.76	27147132	8.18	8.17	8.18	33495	749	0.49	          1.08	8.05	
603886	元祖股份	0.89	25978360	18.11	18.11	18.12	14448	12	0.11	          1.19	18.16	
002002	鸿达兴业	0.90	25484600	6.70	6.70	6.71	38067	304	-0.14	          0.18	6.67	
600640	号百控股	1.16	25477134	13.07	13.06	13.07	19534	1	0.08	          0.36	13.01	
600818	中路股份	0.75	23911540	16.13	16.20	16.23	14761	15	0.12	          0.62	16.30	
600217	中再资环	1.07	23113116	5.67	5.67	5.68	40842	90	0.00	          0.57	5.66	
300121	阳谷华泰	3.44	23048192	12.02	12.01	12.02	19470	345	0.50	          0.71	11.72	
600697	欧亚集团	1.21	22422924	23.38	23.36	23.38	9602	3	0.04	          0.62	23.27	
002039	黔源电力	1.15	22105388	14.91	14.91	14.92	14863	202	0.07	          0.49	14.84	
603136	天目湖	2.07	21808040	34.52	34.53	34.55	6370	18	0.35	          3.19	34.20	
300382	斯莱克	1.33	21124038	12.98	12.97	12.98	16512	440	0.08	          0.78	12.80	
002319	乐通股份	0.25	20986986	16.05	16.05	16.08	13049	185	-0.05	          0.65	16.06	
000593	大通燃气	0.90	20855552	6.70	6.69	6.70	31279	268	0.30	          1.12	6.66	
601179	中国西电	1.23	19738596	4.10	4.09	4.10	48364	14	0.24	          0.09	4.07	
300294	博雅生物	1.46	19419178	30.59	30.58	30.59	6388	53	0.00	          0.20	30.50	
000652	泰达股份	0.96	19227754	4.19	4.18	4.19	45975	612	0.24	          0.31	4.17	
002216	三全食品	1.20	19076526	7.58	7.58	7.59	25262	132	0.00	          0.44	7.52	
002425	凯撒文化	0.14	19048436	7.21	7.20	7.21	26403	426	0.00	          0.35	7.20	
300092	科新机电	0.88	18846672	6.89	6.89	6.90	27415	573	0.15	          1.64	6.95	
600129	太极集团	2.10	18650080	14.60	14.59	14.60	12817	10	0.14	          0.30	14.50	
300469	信息发展	2.35	17794122	30.05	30.05	30.07	5927	87	-0.68	          2.07	29.53	
002608	江苏国信	0.45	17734848	8.86	8.85	8.86	20048	213	0.00	          0.37	8.87	
