代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
600276	恒瑞医药	2.00	708199680	    61.18	       1898.86亿	          0.38	化学制药	10	0.06	67.42	65.52	67.94	65.07	66.09	1.32	67.41	  1.04	105661	江苏	
002202	金风科技	5.40	707446656	    19.51	        488.23亿	          1.51	电气设备	2022	0.18	16.81	16.01	17.00	16.00	15.94	0.86	16.80	  1.93	423283	新疆	
300355	蒙草生态	-1.44	702625856	    21.77	        208.39亿	          4.68	环境保护	8109	-0.07	12.99	12.91	13.13	12.83	13.18	-0.19	12.99	  0.81	542380	内蒙	
601933	永辉超市	2.79	700450368	    47.53	        882.40亿	          1.18	超市连锁	75	0.22	9.22	9.02	9.27	8.85	8.97	0.25	9.22	  1.21	770352	福建	
600206	有研新材	0.00	695162752	   154.91	         99.90亿	          6.98	半导体	40	0.68	11.92	11.81	12.09	11.66	11.91	0.00	11.91	  0.94	585853	北京	
002245	澳洋顺昌	0.19	691382272	    30.89	        105.84亿	          7.03	仓储物流	8561	0.28	10.73	10.70	11.06	10.53	10.70	0.02	10.72	  1.44	639724	江苏	
300223	北京君正	6.27	687601088	   713.44	         65.44亿	         18.77	半导体	4160	0.95	39.33	36.87	39.50	34.88	37.00	2.32	39.32	  1.10	184971	北京	
603260	合盛硅业	-10.00	679716224	    26.25	        338.15亿	         18.58	化工原料	11	0.00	50.47	55.38	55.39	50.47	56.08	-5.61	50.47	  1.10	130076	浙江	
300676	华大基因	-2.03	674041024	   187.63	        781.60亿	          8.42	医疗保健	1006	-0.79	195.35	197.99	204.99	195.35	199.40	-4.05	195.35	  0.60	33756	深圳	
002151	北斗星通	3.39	672948672	   162.52	        164.26亿	          8.58	通信设备	2508	0.41	32.05	31.35	33.56	31.06	31.00	1.05	32.05	  1.96	208450	北京	
600104	上汽集团	0.19	665270080	    11.02	       3619.54亿	          0.20	汽车整车	479	0.10	30.99	30.75	31.00	30.55	30.92	0.06	30.98	  0.92	216366	上海	
000807	云铝股份	-4.21	656228352	    41.00	        231.49亿	          3.18	铝	16717	-0.33	8.88	9.29	9.42	8.87	9.27	-0.39	8.88	  0.71	717310	云南	
002497	雅化集团	-0.06	653077504	    68.47	        150.24亿	          5.05	化工原料	2816	-0.18	15.66	15.86	16.30	15.55	15.66	-0.01	15.65	  0.89	411507	四川	
300017	网宿科技	-3.59	650025088	    30.53	        233.02亿	          4.19	电信运营	7059	-0.09	9.67	9.89	9.92	9.65	10.03	-0.36	9.67	  1.21	665594	上海	
601628	中国人寿	1.85	642615424	    24.86	       6551.08亿	          0.10	保险	29	0.06	31.47	30.66	31.60	30.49	30.89	0.57	31.46	  1.15	205566	北京	
601699	潞安环能	-1.44	638901248	    12.13	        307.52亿	          2.03	煤炭开采	326	0.10	10.29	10.55	10.77	10.21	10.43	-0.15	10.28	  0.78	608592	山西	
000792	盐湖股份	-0.95	638044288	--  	        378.35亿	          1.67	化工原料	10350	-0.79	13.58	13.69	14.13	13.58	13.71	-0.13	13.58	  0.63	459883	青海	
002797	第一创业	-3.13	637681344	    81.74	        325.72亿	          3.51	证券	16587	0.00	9.31	9.55	9.62	9.26	9.60	-0.30	9.30	  1.08	673602	深圳	
