代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
600604	市北高新	1.59	135709360	0.11	7.05	7.06	191915	273	-0.13	          1.84	6.90	7.33	
300245	天玑科技	3.01	133321768	0.41	14.01	14.02	97115	1350	0.07	          4.72	13.51	14.03	
300722	新余国科	1.49	127238368	0.48	32.68	32.70	38955	398	-0.05	         19.48	32.90	33.60	
603378	亚士创能	7.89	124755224	1.48	20.23	20.25	62613	26	-0.14	         12.78	18.74	20.53	
300686	智动力	3.70	120412536	0.76	21.31	21.32	56003	834	0.61	         17.89	21.50	22.50	
002636	金安国纪	6.12	117189168	0.83	14.39	14.40	82842	858	0.07	          3.36	13.58	14.64	
002840	华统股份	2.16	117011656	0.73	34.56	34.57	34389	538	0.17	          3.52	33.85	34.80	
000545	金浦钛业	2.60	112657896	0.12	4.73	4.74	237532	2474	-0.20	          2.48	4.69	4.84	
603399	吉翔股份	3.56	111633264	0.53	15.40	15.41	73210	1	0.06	          1.47	14.87	15.46	
603595	东尼电子	10.01	108979480	9.02	99.17	--  	11373	2	0.00	          4.55	91.98	99.17	
300227	光韵达	6.31	108318536	1.20	20.22	20.23	55074	887	0.00	          4.05	18.92	20.39	
002356	赫美集团	7.23	105504464	1.92	28.46	28.48	38377	957	1.35	          1.35	26.82	28.49	
002885	京泉华	10.00	103213808	2.98	32.78	--  	32054	50	0.00	         16.03	31.89	32.78	
002850	科达利	5.56	102409656	2.70	51.29	51.30	20382	584	0.69	          3.29	49.48	51.30	
000889	茂业通信	4.24	101236824	0.54	13.27	13.28	77256	727	0.00	          1.24	12.75	13.38	
300526	中潜股份	10.01	100056432	1.40	15.39	--  	66436	234	0.00	         11.11	14.10	15.39	
002452	长高集团	10.00	99610608	0.56	6.16	--  	162958	207	0.00	          4.27	6.16	6.16	
600611	大众交通	2.77	99592480	0.13	4.82	4.83	206125	516	0.21	          1.32	4.69	4.95	
002416	爱施德	5.71	98325960	0.51	9.44	9.45	107137	875	0.11	          1.10	8.93	9.50	
