代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
002544	杰赛科技	2.67	152900144	0.38	14.59	14.60	106150	2096	0.27	          2.08	14.50	
002025	航天电器	2.64	152190928	0.60	23.34	23.35	65101	502	0.00	          1.52	23.15	
300585	奥联电子	0.23	151831920	0.04	17.64	17.65	85912	1570	-0.39	         10.26	17.00	
002182	云海金属	4.94	151798720	0.38	8.07	8.08	189567	1638	0.25	          4.21	7.85	
300730	科创信息	3.07	151297616	1.00	33.60	33.61	45418	1014	0.03	         19.54	32.96	
300047	天源迪科	1.70	151257280	0.23	13.76	13.77	110051	1063	-0.06	          4.04	13.52	
002152	广电运通	1.25	150727440	0.09	7.28	7.29	206599	3832	-0.26	          1.06	7.25	
300462	华铭智能	10.01	148886512	2.24	24.61	--  	63935	64	0.00	         11.41	23.50	
300007	汉威科技	6.37	148647984	0.83	13.85	13.86	110277	1292	-0.06	          4.92	12.99	
300571	平治信息	10.01	147975920	6.17	67.83	--  	22472	4	0.00	          6.43	61.67	
300401	花园生物	1.34	146673552	0.65	48.99	49.00	30098	653	-0.19	          1.77	48.70	
600718	东软集团	2.76	145892272	0.37	13.77	13.78	107141	113	0.07	          0.87	13.44	
603355	莱克电气	6.73	143647232	2.33	36.91	36.93	39965	6	0.16	          5.99	34.42	
300142	沃森生物	0.41	143316224	0.08	19.74	19.75	72682	725	0.00	          0.54	19.78	
000422	湖北宜化	9.87	142571728	0.31	3.45	--  	416602	1912	0.00	          4.64	3.22	
603901	永创智能	4.99	140673760	0.44	9.25	9.26	156789	7	-0.31	         10.18	8.75	
600227	赤天化	1.26	140650704	0.07	5.63	5.64	251452	25	0.53	          2.02	5.42	
603776	永安行	4.36	140206624	2.34	56.02	56.05	24804	2	-0.26	         10.33	55.10	
002582	好想你	7.49	139406928	0.88	12.63	12.64	112712	1450	-0.15	          4.78	11.81	
002760	凤形股份	1.50	138722624	0.34	22.94	22.95	60784	1222	0.22	         13.29	22.95	
002280	联络互动	1.06	137490576	0.07	6.70	6.71	206495	5930	0.15	          1.12	6.72	
600418	江淮汽车	1.89	136154064	0.15	8.06	8.07	169646	24	0.25	          1.17	7.89	
000550	江铃汽车	2.87	134379536	0.55	19.73	19.74	68935	1683	0.05	          1.33	19.18	
300245	天玑科技	3.01	133321768	0.41	14.01	14.02	97115	1350	0.07	          4.72	13.51	
01813	合景泰富	0.71	133149832	0.080	11.400	11.420	11608046	169000	-0.35	          0.37	11.400	
000710	贝瑞基因	2.92	132585272	1.37	48.24	48.28	27900	316	-0.03	          1.85	46.91	
300302	同有科技	0.57	132299584	0.06	10.55	10.56	125325	2632	0.19	          5.12	10.40	
600701	工大高新	0.91	130786752	0.08	8.82	8.83	149163	5	0.23	          1.92	8.98	
000555	神州信息	5.04	129675056	0.53	11.05	11.06	119326	2492	0.09	          1.30	10.52	
300722	新余国科	1.49	127238368	0.48	32.68	32.70	38955	398	-0.05	         19.48	32.90	
01030	新城发展控股	1.13	126804720	0.070	6.260	6.270	20108000	726000	0.64	          0.34	6.280	
002409	雅克科技	5.78	124418696	1.32	24.13	24.14	51929	776	-0.28	          2.84	23.10	
300503	昊志机电	4.00	123455792	0.53	13.76	13.77	89834	1569	-0.35	          8.71	13.64	
300036	超图软件	1.75	123362648	0.27	15.72	15.74	79313	1462	0.19	          2.40	15.60	
300002	神州泰岳	1.17	122014432	0.08	6.89	6.90	177340	3303	-0.28	          1.28	6.88	
002670	国盛金控	0.13	120684504	0.02	15.81	15.82	76136	1803	0.13	          1.55	16.00	
300686	智动力	3.70	120412536	0.76	21.31	21.32	56003	834	0.61	         17.89	21.50	
002221	东华能源	0.59	118123120	0.07	11.96	11.97	99552	3331	0.25	          0.66	11.83	
300010	立思辰	1.76	116880032	0.18	10.39	10.40	112566	1313	-0.18	          1.80	10.23	
002028	思源电气	0.64	114877024	0.11	17.35	17.36	65680	1051	0.00	          1.13	17.39	
000545	金浦钛业	2.60	112657896	0.12	4.73	4.74	237532	2474	-0.20	          2.48	4.69	
603938	三孚股份	2.06	112290824	0.67	33.14	33.15	34054	2	0.06	          9.07	32.90	
