代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
300601	康泰生物	1.35	116290232	0.68	51.00	51.02	22791	693	-0.03	          1.42	50.25	52.04	
002028	思源电气	0.64	114877024	0.11	17.35	17.36	65680	1051	0.00	          1.13	17.39	17.85	
601919	中远海控	0.00	114844312	0.00	5.96	5.97	192160	100	0.34	          0.25	5.96	6.03	
002737	葵花药业	1.39	113809728	0.51	37.11	37.13	30599	242	0.16	          2.33	36.59	37.60	
300373	扬杰科技	2.30	112860936	0.58	25.77	25.78	44047	579	0.04	          1.89	25.18	25.93	
000545	金浦钛业	2.60	112657896	0.12	4.73	4.74	237532	2474	-0.20	          2.48	4.69	4.84	
603938	三孚股份	2.06	112290824	0.67	33.14	33.15	34054	2	0.06	          9.07	32.90	34.00	
300732	设研院	2.36	111939752	1.82	78.80	78.81	14382	359	0.15	          7.99	77.06	78.88	
603399	吉翔股份	3.56	111633264	0.53	15.40	15.41	73210	1	0.06	          1.47	14.87	15.46	
300558	贝达药业	3.14	111443904	1.72	56.52	56.53	19751	142	0.20	          1.16	54.72	57.20	
603595	东尼电子	10.01	108979480	9.02	99.17	--  	11373	2	0.00	          4.55	91.98	99.17	
300227	光韵达	6.31	108318536	1.20	20.22	20.23	55074	887	0.00	          4.05	18.92	20.39	
600990	四创电子	2.97	106939912	1.53	52.93	53.00	20162	4	-0.20	          1.47	51.54	53.97	
601882	海天精工	2.12	105843880	0.25	12.03	12.04	87369	77	0.25	          6.94	12.00	12.68	
002356	赫美集团	7.23	105504464	1.92	28.46	28.48	38377	957	1.35	          1.35	26.82	28.49	
600527	江南高纤	3.69	105320952	0.18	5.06	5.07	209811	30	0.40	          2.62	4.88	5.14	
002885	京泉华	10.00	103213808	2.98	32.78	--  	32054	50	0.00	         16.03	31.89	32.78	
603289	泰瑞机器	4.53	103021472	0.70	16.14	16.15	64415	16	0.12	         12.63	15.49	16.29	
600855	航天长峰	0.23	102871744	0.03	13.17	13.18	77657	9	0.23	          2.35	13.55	13.83	
603578	三星新材	0.25	102711768	0.09	35.82	35.90	28240	8	0.93	         12.84	36.30	37.30	
