代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
09847	安硕富时一百－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	1.210	
09834	安硕纳指一百－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	1.710	
09170	安硕韩国二百－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	1.530	
09155	安硕ＥＳ５０－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	1.330	
09146	安硕ＤＡＸ－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	1.370	
09115	安硕恒生指数－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	14.460	
09081	价值黄金－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	4.160	
09010	安硕亚洲除日－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	7.480	
07335	ＦＩ南方Ｎ５０	-1.37	0	--  	--  	0	0	0.00	--  	  0.00	--  	12.960	
07315	ＦＩ未来东证	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	7.470	
07225	ＦＬ二未来东证	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	16.440	
07202	ＦＬ二南方Ｎ５０	2.17	0	--  	--  	0	0	0.00	--  	  0.00	--  	18.860	
04363	ＩＳ台湾基金ＴＲ	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
04362	ＩＳ南韩基金ＴＲ	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
03180	华夏中华八十	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	15.300	
03170	安硕韩国二百	0.68	0	--  	--  	0	0	0.00	--  	  0.00	--  	11.900	
03162	安硕ＭＡ中国	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	9.020	
03157	华夏港股通小型股	0.18	0	--  	--  	0	0	0.00	--  	  0.00	--  	28.550	
03156	广发明晟Ａ国	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	10.560	
03153	未来亚洲医疗保健	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
03150	嘉实中证五百	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	6.030	
03149	南方ＭＡ国际	-0.54	0	--  	--  	0	0	0.00	--  	  0.00	--  	14.740	
03137	南方中华８０	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	36.700	
03136	嘉实明晟５０	-0.32	0	--  	--  	0	0	0.00	--  	  0.00	--  	18.500	
03135	Ｆ南方东英原油	-0.36	0	--  	--  	0	0	0.00	--  	  0.00	--  	8.270	
03132	添富中证医药	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	22.150	
03129	南方三百精明	-0.46	0	--  	--  	0	0	0.00	--  	  0.00	--  	17.460	
03127	未来沪深三百	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	17.120	
03122	南方东英短债	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	185.650	
03121	ＢＭＯ亚太房地产	-0.18	0	--  	--  	0	0	0.00	--  	  0.00	--  	11.320	
03120	易方达１２０	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	17.700	
03107	添富主要消费	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	24.250	
03102	易亚证券收益增长	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	11.240	
03100	易方达中一百	-0.49	0	--  	--  	0	0	0.00	--  	  0.00	--  	50.850	
03097	Ｆ未来原油	-0.40	0	--  	--  	0	0	0.00	--  	  0.00	--  	5.040	
03065	ＴＲ新加坡	0.33	0	--  	--  	0	0	0.00	--  	  0.00	--  	12.160	
03060	价值台湾ＥＴＦ	0.34	0	--  	--  	0	0	0.00	--  	  0.00	--  	43.950	
03056	未来标普国际消费	1.40	0	--  	--  	0	0	0.00	--  	  0.00	--  	36.150	
03055	ＴＲ中国	0.06	0	--  	--  	0	0	0.00	--  	  0.00	--  	162.200	
03054	未来标普亚洲消费	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
03048	ＴＲ巴西	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	42.300	
03043	ＴＲ太平洋	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	49.100	
03041	价值韩国ＥＴＦ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	35.050	
03036	ＴＲ台湾	0.59	0	--  	--  	0	0	0.00	--  	  0.00	--  	238.800	
03021	南方东英ＭＴ５０	0.16	0	--  	--  	0	0	0.00	--  	  0.00	--  	6.120	
03015	ＸＴＲＮ５０印度	1.13	0	--  	--  	0	0	0.00	--  	  0.00	--  	1255.000	
03008	添富沪深三百	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	21.750	
03007	ＴＲ富时５０	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	336.600	
02847	安硕富时一百	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	9.560	
02839	标智港股内地地产	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
02835	未来ＫＯＳＰＩ	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
02832	博时ＦＡ５０	-0.47	0	--  	--  	0	0	0.00	--  	  0.00	--  	8.440	
02825	标智香港１００	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	28.150	
02824	力宝专选中港地产	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	78.450	
02817	标智港股内地消费	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
02808	易方达国债	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	133.350	
00625	睿富房地产基金	0.00	0	--  	--  	0	0	0.00	--  	0.00	--  	4.350	
83199	南方五年国债－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	102.000	
83180	华夏中华八十－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	13.020	
83170	安硕韩国二百－Ｒ	0.84	0	--  	--  	0	0	0.00	--  	  0.00	--  	9.630	
83168	恒生人币金ＥＴＦ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	24.450	
83162	安硕ＭＡ中国－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	7.300	
83156	广发明晟Ａ国－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	8.500	
83150	嘉实中证五百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	5.050	
83149	南方ＭＡ国际－Ｒ	-0.17	0	--  	--  	0	0	0.00	--  	  0.00	--  	11.920	
数据来源:通达信
