代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
00503	朗生医药	1.36	1849530	--  	--  	1252000	30000	0.00	          0.30	  1.11	1.480	1.500	
00468	纷美包装	-0.57	1829430	5.200	5.240	348000	23000	0.00	          0.03	  0.29	5.300	5.340	
01260	皓天财经集团	2.14	1829080	--  	--  	1314000	2000	1.42	          0.11	  4.82	1.430	1.430	
00199	德祥地产	0.00	1824793	--  	--  	702197	5000	0.00	          0.07	  2.56	2.590	2.610	
00706	美丽中国控股	4.35	1814650	--  	--  	24780000	950000	-2.70	          0.27	 15.26	0.070	0.077	
00280	景福集团	5.15	1813560	--  	--  	3681000	100000	0.00	          0.40	  1.57	0.485	0.510	
00009	九号运通	-1.61	1812600	--  	--  	5994000	30000	0.00	          0.20	  3.13	0.310	0.310	
03393	威胜集团	-0.97	1806560	4.040	4.070	448000	6000	0.99	          0.04	  1.29	4.000	4.130	
00717	英皇证券	-1.59	1802994	--  	--  	2893467	42000	-1.59	          0.04	  0.34	0.620	0.630	
00861	神州控股	-1.55	1802498	4.410	4.450	404750	15000	0.00	          0.02	  0.29	4.500	4.520	
01635	大众公用	-1.28	1800010	3.090	3.140	571000	1000	-1.28	          0.11	  1.95	3.160	3.210	
02708	艾伯科技	2.55	1798560	--  	--  	1126000	2000	0.00	          0.28	  1.22	1.570	1.620	
01385	上海复旦	5.61	1798320	--  	--  	278000	30000	0.00	          0.10	  2.36	6.240	6.680	
01132	橙天嘉禾	0.00	1798300	--  	--  	2850000	5000	1.59	          0.10	  0.75	0.640	0.640	
01194	麦盛资本	0.00	1798086	--  	--  	30180000	8000	0.00	          0.18	  0.71	0.060	0.061	
00830	远东环球	-1.06	1793660	--  	--  	1918000	28000	-1.06	          0.09	  6.22	0.940	1.000	
00281	川河集团	-1.54	1784200	--  	--  	2780000	32000	0.00	          0.11	  0.62	0.640	0.650	
01858	春立医疗	-0.23	1783992	--  	--  	103800	400	0.12	          0.54	  0.84	17.260	17.260	
00398	东方表行集团	2.03	1757600	--  	--  	878000	6000	0.00	          0.15	  1.38	1.980	2.030	
00983	瑞安建业	1.06	1746640	--  	--  	908000	34000	0.53	          0.19	  2.46	1.900	1.960	
02138	香港医思医疗集团	-1.61	1744130	--  	--  	473000	30000	0.00	          0.05	  0.99	3.700	3.700	
01375	中州证券	-0.32	1739580	3.120	3.140	555000	5000	-0.64	          0.04	  0.62	3.130	3.150	
00538	味千（中国）	-1.85	1738680	--  	--  	470000	9000	1.09	          0.04	  0.66	3.790	3.790	
03882	天彩控股	-1.71	1738150	--  	--  	1521000	1000	0.00	          0.18	  0.87	1.170	1.190	
01184	S.A.S. DRAGON	1.48	1733900	--  	--  	640000	4000	0.00	          0.10	  0.78	2.680	2.740	
00436	新宇环保	-1.41	1721200	--  	--  	2440000	100000	0.00	          0.08	  0.53	0.710	0.710	
03336	巨腾国际	-2.26	1716109	--  	--  	792004	42000	-0.46	          0.07	  1.35	2.210	2.210	
00711	亚洲联合基建控股	0.00	1715180	--  	--  	1864000	12000	0.00	          0.10	  1.23	0.920	0.930	
02345	上海集优	0.65	1710420	--  	--  	1096000	2000	-0.64	          0.14	  0.66	1.550	1.570	
03330	灵宝黄金	1.19	1705480	--  	--  	1006000	12000	0.00	          0.34	  2.30	1.640	1.730	
00480	香港兴业国际	-1.43	1686233	4.790	4.820	350219	4800	0.00	          0.03	  0.96	4.790	4.880	
